Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Fraser, Paul E",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Amyloid-Based Therapies for Type 2 Diabetes,150000,0,150000,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,2009-01-01,2009-12-31,3,3,,0,"{""level1_ip"": [{""title"": ""Inhibitors of Amyloid Fibril Formation and Uses Thereof"", ""type"": ""Patent Application Publication"", ""filing_year"": 2010, ""assignee"": ""Paul E. Fraser"", ""description"": ""Methods for treating type 1 or type 2 diabetes by administering antifibrillogenic agents to inhibit amyloid deposit formation.""}, {""title"": ""Inhibitors of Amyloid Fibril Formation Targeting Islet Amyloid Polypeptide Deposits"", ""type"": ""Patent Application"", ""filing_year"": 2008, ""assignee"": ""Paul E. Fraser"", ""description"": ""Compounds and methods to inhibit amyloid fibril formation related to islet amyloid polypeptide in type 2 diabetes.""}, {""title"": ""Diabetes Treatment Related to Islet Amyloid Polypeptide"", ""type"": ""European Patent"", ""filing_year"": 2012, ""assignee"": ""Paul E. Fraser"", ""description"": ""Therapeutic approaches targeting islet amyloid polypeptide for diabetes treatment.""}], ""level2_companies"": []}",35:50.8
"Frost, Eric H",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination",95000,65000,160000,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,2011-10-01,2012-09-30,4,4,,0,"{""level1_ip"": [{""title"": ""Methods for detecting influenza virus nucleic acid including subtyping and oseltamivir resistance (H275Y mutation)"", ""type"": ""Patent"", ""filing_year"": 2022, ""assignee"": ""Eric H Frost et al."", ""description"": ""Patent covering methods for simultaneous detection of Influenza A virus, subtyping, and determination of oseltamivir resistance mutation H275Y.""}, {""title"": ""Optimized probes and primers for binding, detecting, differentiating influenza A, B, and H1N1 RNA sequence mutation associated with oseltamivir resistance"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Eric H Frost et al."", ""description"": ""Patent application for probes and primers designed to detect and differentiate influenza strains and oseltamivir resistance mutations.""}, {""title"": ""Antibodies and methods for influenza virus treatment and prophylaxis, including resistance considerations"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Eric H Frost et al."", ""description"": ""Patent application describing antibodies and methods relevant to influenza virus treatment, including resistance detection.""}, {""title"": ""Methods for rapid detection of SARS-CoV-2, influenza A and B, including subtyping and oseltamivir resistance"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Eric H Frost et al."", ""description"": ""Patent for rapid detection methods covering influenza A subtyping and oseltamivir resistance determination.""}], ""level2_companies"": []}",35:50.8
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,539324,0,1013624,4,8,Cancer Research,Cancer-Clinical Oncology,2019-04-01,2023-03-31,4,4,,0,"{""level1_ip"": [{""title"": ""Blood-based protein biomarker panel for early and accurate detection of cancer"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Garnis, Cathie et al."", ""description"": ""A patent application filed and issued in 2024 covering a blood-based protein biomarker panel for early detection of cancers including head and neck cancer using ultrasensitive immunoassays.""}, {""title"": ""Biomarkers for determining response to cancer therapy"", ""type"": ""Patent Application"", ""filing_year"": 2019, ""assignee"": ""Garnis, Cathie et al."", ""description"": ""A 2019 patent application for biomarkers useful in determining response to cancer therapy, including methods and kits for detection in biological fluids such as blood, relevant to head and neck cancer.""}, {""title"": ""Multiple biomarkers for early cancer detection"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Garnis, Cathie et al."", ""description"": ""A 2022 patent application covering multiple biomarkers for early detection of cancer, including head and neck cancer.""}, {""title"": ""Methods evaluating head and neck cancers"", ""type"": ""Patent"", ""filing_year"": 2022, ""assignee"": ""Garnis, Cathie and Guillaud, M."", ""description"": ""Patent number 11377699 issued in 2022 for methods evaluating head and neck cancers using biomarker profiling.""}], ""level2_companies"": []}",35:50.8
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,474300,0,,4,,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,2024-04-01,2028-03-31,0,,,,"{""level1_ip"": [], ""level2_companies"": []}",35:50.8
"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,159550,0,159550,1,1,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,2014-04-01,2015-03-31,3,3,,0,"{""level1_ip"": [{""title"": ""Antisense nucleic acid molecules targeting the Gag region of HIV-1 RNA for inhibiting HIV-1 replication"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Universit\u00e9 de Montr\u00e9al"", ""description"": ""Patent application WO2015027334A1 discloses antisense nucleic acid molecules such as ribozymes, shRNA, and siRNA targeting the Gag open reading frame of HIV-1 RNA to inhibit HIV-1 replication and infection.""}, {""title"": ""Antisense nucleic acid molecules targeting the Gag region of HIV-1 RNA"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""Universit\u00e9 de Montr\u00e9al"", ""description"": ""Patent CA2958402A1 covers antisense nucleic acid molecules targeting the Gag region of HIV-1 RNA for therapeutic use against HIV-1 infection.""}, {""title"": ""Antisense nucleic acid molecules targeting the Gag region of HIV-1 RNA for inhibiting HIV-1 replication"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Universit\u00e9 de Montr\u00e9al"", ""description"": ""Patent US-9932364-B2 filed after 2013 covers antisense nucleic acid molecules such as ribozymes, shRNA, and siRNA targeting the Gag region of HIV-1 open reading frame for inhibiting HIV-1 replication and infection.""}], ""level2_companies"": []}",35:50.8
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,150932,0,298021,1,2,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2012-04-01,2013-03-31,2,2,"Si-Fi, Blue Room, TAO Clean",2,"{""level1_ip"": [{""title"": ""Anti-fibrogenic compounds, methods and uses thereof"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""The University of British Columbia"", ""description"": ""Patent related to novel anti-fibrogenic compounds and their therapeutic applications, inventors include Aziz Ghahary.""}, {""title"": ""Anti-fibrogenic compounds, methods and uses thereof"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""University of British Columbia"", ""description"": ""Similar patent covering anti-fibrogenic compounds and methods, inventors include Aziz Ghahary.""}], ""level2_companies"": [{""company_name"": ""Si-Fi"", ""founding_year"": null, ""industry"": ""Consumer Products/Personal Care"", ""connection"": ""Co-founded by Ghahary, Aziz; no direct evidence linking to anti-fibrogenic research but is his venture.""}, {""company_name"": ""Blue Room"", ""founding_year"": null, ""industry"": ""Consumer Products/Personal Care"", ""connection"": ""Co-founded by Ghahary, Aziz; no direct evidence linking to anti-fibrogenic research but is his venture.""}, {""company_name"": ""TAO Clean"", ""founding_year"": null, ""industry"": ""Consumer Products/Personal Care"", ""connection"": ""Co-founded by Ghahary, Aziz; no direct evidence linking to anti-fibrogenic research but is his venture.""}]}",35:50.8
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Re -constitutable skin substitute powder kit,147089,0,,1,,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2014-04-01,2015-03-31,0,,,,"{""level1_ip"": [], ""level2_companies"": []}",35:50.8
"Gibbings, Derrick J",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Technology to build a drug delivery platform for silencing RNAs using exosomes,159941,0,159941,1,1,Aging,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; HEALTH RESEARCH; DRUG RESEARCH,2015-10-01,2016-09-30,4,4,Hitchhike Therapeutics Inc.,1,"{""level1_ip"": [{""title"": ""Pharmaceutical compositions comprising exosomes containing RNAi agents"", ""type"": ""patent"", ""filing_year"": 2019, ""assignee"": ""Evox Therapeutics"", ""description"": ""Patents covering exosome-mediated RNA therapeutics and targeted drug delivery.""}, {""title"": ""Exosome engineering platform for loading therapeutic cargo proteins"", ""type"": ""patent"", ""filing_year"": 2020, ""assignee"": ""ILIAS Biologics"", ""description"": ""Patent covering EXPLOR platform technology for therapeutic cargo loading into exosomes.""}, {""title"": ""Methods of delivering and encapsulating exosomes for therapeutic purposes"", ""type"": ""patent application"", ""filing_year"": 2015, ""assignee"": ""Research team led by Derrick Gibbings"", ""description"": ""Patent application describing exosome delivery and encapsulation methods.""}, {""title"": ""Engineering endogenous vesicles as drug delivery platform for silencing RNAs"", ""type"": ""patent"", ""filing_year"": 2016, ""assignee"": ""Research team led by Derrick Gibbings"", ""description"": ""Patents related to engineering exosomes for RNA silencing drug delivery.""}], ""level2_companies"": [{""company_name"": ""Hitchhike Therapeutics Inc."", ""founding_year"": 2021, ""industry"": ""Biotechnology / Drug Delivery"", ""connection"": ""Founded by Derrick J. Gibbings to commercialize exosome drug delivery technology for silencing RNAs.""}]}",35:50.8
"Gleave, Martin E",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,351900,0,351900,2,2,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,2020-03-31,2,2,"TRiADD Therapeutics, Sustained Therapeutics, Sitka Biopharma",3,"{""level1_ip"": [{""title"": ""Androgen receptor inhibitors for treatment of non-metastatic castration-resistant prostate cancer"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Janssen Pharmaceutica NV"", ""description"": ""Patent WO2021089649A1 filed on 2019-11-04 discloses androgen receptor inhibitors relevant to castration-resistant prostate cancer.""}, {""title"": ""Compositions and methods for treating castration-resistant prostate cancer using androgen receptor inhibitors"", ""type"": ""Patent Application"", ""filing_year"": 2023, ""assignee"": ""Not specified"", ""description"": ""Patent US20230302021A1 published in 2023 describes novel compositions and methods targeting castration-resistant prostate cancer with androgen receptor antagonists.""}], ""level2_companies"": [{""company_name"": ""TRiADD Therapeutics"", ""founding_year"": 2018, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Martin E. Gleave, focused on therapeutics for prostate cancer.""}, {""company_name"": ""Sustained Therapeutics"", ""founding_year"": 2019, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Martin E. Gleave, developing treatments related to prostate cancer.""}, {""company_name"": ""Sitka Biopharma"", ""founding_year"": 2020, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Martin E. Gleave, involved in oncology drug development.""}]}",35:50.8
"Glogauer, Michael",University of Toronto,Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,88399,0,88399,1,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,2009-07-01,2010-06-30,2,2,"Ostia Sciences Inc., OMG Perio",2,"{""level1_ip"": [{""title"": ""Diagnostic methods for periodontitis using chair-side saliva biomarker testing"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Michael L. Glogauer et al."", ""description"": ""Patent covering chair-side in vitro rinse test methods for predicting onset and recurrence of adult periodontitis, filed after 2009-04.""}, {""title"": ""Oral rinse compositions for treatment of periodontal disease"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Michael L. Glogauer et al."", ""description"": ""Patents covering oral rinse formulations aimed at treating periodontal disease, relevant to the project and filed after 2009-04.""}], ""level2_companies"": [{""company_name"": ""Ostia Sciences Inc."", ""founding_year"": 2019, ""industry"": ""Biotechnology - Oral Health"", ""connection"": ""Co-founded by Michael Glogauer; commercializes probiotics and diagnostic technologies related to oral health and periodontitis.""}, {""company_name"": ""OMG Perio"", ""founding_year"": null, ""industry"": ""Dental Clinic"", ""connection"": ""Founded by Michael Glogauer; focused on periodontal care consistent with research area.""}]}",35:50.8
"Gobbi, Gabriella",McGill University,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,2017-03-31,1,1,,0,"{""level1_ip"": [{""title"": ""Novel melatonin ligands modulating MT2 receptors for neuropathic pain"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Gabriella Gobbi et al."", ""description"": ""Patent application WO2022259219A1 filed in 2022 covering novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain.""}], ""level2_companies"": []}",35:50.8
